method,config,instance,avg_best8,best8,worst8,std8
SA,"t0=240000;cool=0.998;tmin=8;iter=5",cap111_ss,1.17798e+06,1.16779e+06,1.18567e+06,5643.59
SA,"t0=300000;cool=0.994;tmin=8;iter=9",cap41_ss,1.57026e+06,1.56039e+06,1.58083e+06,7686.33
SA,"t0=300000;cool=0.994;tmin=8;iter=9",cap81_ss,1.19922e+06,1.18727e+06,1.22079e+06,9448.27
SA,"t0=300000;cool=0.994;tmin=8;iter=9",cap111_ss,1.18361e+06,1.17311e+06,1.19179e+06,5991
SA,"t0=300000;cool=0.994;tmin=8;iter=10",cap41_ss,1.5767e+06,1.56207e+06,1.59328e+06,10702.2
SA,"t0=300000;cool=0.994;tmin=8;iter=10",cap81_ss,1.19105e+06,1.18487e+06,1.19707e+06,4216.83
SA,"t0=300000;cool=0.994;tmin=8;iter=10",cap111_ss,1.18166e+06,1.16975e+06,1.20317e+06,10586.2
SA,"t0=300000;cool=0.994;tmin=8;iter=11",cap41_ss,1.56691e+06,1.55975e+06,1.57759e+06,6169.68
SA,"t0=300000;cool=0.994;tmin=8;iter=11",cap81_ss,1.1881e+06,1.18572e+06,1.19122e+06,1594.42
SA,"t0=300000;cool=0.994;tmin=8;iter=11",cap111_ss,1.18547e+06,1.17307e+06,1.19491e+06,7028.07
SA,"t0=300000;cool=0.994;tmin=8;iter=12",cap41_ss,1.57515e+06,1.56185e+06,1.62492e+06,20133.5
SA,"t0=300000;cool=0.994;tmin=8;iter=12",cap81_ss,1.19443e+06,1.18314e+06,1.21847e+06,10347
SA,"t0=300000;cool=0.994;tmin=8;iter=12",cap111_ss,1.18191e+06,1.16975e+06,1.19027e+06,6816.73
SA,"t0=300000;cool=0.995;tmin=8;iter=8",cap41_ss,1.57843e+06,1.56209e+06,1.5917e+06,9559.22
SA,"t0=300000;cool=0.995;tmin=8;iter=8",cap81_ss,1.18997e+06,1.18487e+06,1.19522e+06,3114.02
SA,"t0=300000;cool=0.995;tmin=8;iter=8",cap111_ss,1.19032e+06,1.17089e+06,1.20921e+06,12440.6
SA,"t0=300000;cool=0.995;tmin=8;iter=9",cap41_ss,1.57192e+06,1.55975e+06,1.59067e+06,10926
SA,"t0=300000;cool=0.995;tmin=8;iter=9",cap81_ss,1.18949e+06,1.18648e+06,1.19389e+06,2883.37
